Controversial Flag,Number of Planets in System,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au]),Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Dec [sexagesimal],Dec [decimal degrees],Distance [pc],Distance Upper Unc. [pc],Distance Lower Unc. [pc],Gaia Distance [pc],Gaia Distance Upper Unc. [pc],Gaia Distance Lower Unc. [pc],Optical Magnitude [mag],G-band (Gaia) [mag],Effective Temperature [K],Effective Temperature Upper Unc. [K],Effective Temperature Lower Unc. [K],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Radius [Solar radii],Stellar Radius Upper Unc. [Solar radii],Stellar Radius Lower Unc. [Solar radii],Time of Periastron Lower Unc. [days],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Upper Unc. [m/s],Radial Velocity Amplitude Lower Unc. [m/s],Planet M*sin(i) [Jupiter mass],Planet M*sin(i) Upper Unc. [Jupiter mass],Planet M*sin(i) Lower Unc. [Jupiter mass],Planet Mass [Earth mass],Planet Mass Upper Unc. [Earth mass],Planet Mass Lower Unc. [Earth mass],Planet M*sin(i) [Earth mass],Planet M*sin(i) Upper Unc. [Earth mass],Planet M*sin(i) Lower Unc. [Earth mass],Planet Mass or M*sin(i) [Earth mass],Planet Mass or M*sin(i) Upper Unc. [Earth mass],Planet Mass or M*sin(i) Lower Unc. [Earth mass],Planet Radius [Earth radii],Planet Radius Upper Unc. [Earth radii],Planet Radius Lower Unc. [Earth radii],Planet Radius [Solar radii],Planet Radius Upper Unc. [Solar radii],Planet Radius Lower Unc. [Solar radii],Transit Depth [percent],Ratio of Planet to Stellar Radius,Ratio of Planet to Stellar Radius Upper Unc.,Ratio of Planet to Stellar Radius Lower Unc.,Number of Moons in System,Number of Stellar and Planet Parameters,Number of Stellar and Planet References,RA [hrs],Galactic Longitude [deg],Galactic Latitude [deg],Ecliptic Longitude [deg],Ecliptic Latitude [deg],Parallax [mas],Parallax Upper Unc. [mas],Parallax Lower Unc. [mas],Gaia Parallax [mas],Gaia Parallax Upper Unc. [mas],Gaia Parallax Lower Unc. [mas],Proper Motion (RA) [mas/yr],Proper Motion (RA) Unc. [mas/yr],Proper Motion (Dec) [mas/yr],Proper Motion (Dec) Unc. [mas/yr],Total Proper Motion [mas/yr],Total Proper Motion Unc. [mas/yr],Gaia Proper Motion (RA) [mas/yr],Gaia Proper Motion (RA) Unc. [mas/yr],Gaia Proper Motion (Dec) [mas/yr],Gaia Proper Motion (Dec) Unc. [mas/yr],Gaia Total Proper Motion [mas/yr],Gaia Total Proper Motion Unc. [mas/yr],Radial Velocity [km/s],Radial Velocity Upper Unc. [km/s],Radial Velocity Lower Unc. [km/s],Spectral Type,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Age [Gyr],Stellar Age Upper Unc. [Gyr],Stellar Age Lower Unc. [Gyr],Rot. Velocity V*sin(i) [km/s],Rot. Velocity V*sin(i) Upper Unc. [km/s],Rot. Velocity V*sin(i) Lower Unc. [km/s],V-band (Johnson) [mag],V-band (Johnson) Unc. [mag],B-band (Johnson) [mag],B-band (Johnson) Unc. [mag],R-band (Cousins) [mag],J-band (2MASS) [mag],J-band (2MASS) Unc. [mag],H-band (2MASS) [mag],H-band (2MASS) Unc. [mag],Ks-band (2MASS) [mag],Ks-band (2MASS) Unc. [mag],WISE 3.4um [mag],WISE 3.4um Unc. [mag],WISE 4.6um [mag],WISE 4.6um Unc. [mag],WISE 12.um [mag],WISE 12.um Unc. [mag],WISE 22.um [mag],WISE 22.um Unc. [mag],IRAS 100um Flux Limit Flag,Number of Photometry Measurements,U-B (Johnson) [mag],U-B (Johnson) Unc. [mag],B-V (Johnson) [mag],B-V (Johnson) Unc. [mag],J-H (2MASS) [mag],J-H (2MASS) Unc. [mag],H-Ks (2MASS) [mag],H-Ks (2MASS) Unc. [mag],J-Ks (2MASS) [mag],J-Ks (2MASS) Unc. [mag],b-y (Stromgren) [mag],b-y (Stromgren) Unc. [mag],m1 (Stromgren) [mag],m1 (Stromgren) Unc. [mag],c1 (Stromgren) [mag],c1 (Stromgren) Unc. [mag],Number of Color Measurements
11,0,1,,,,0,84,,,15.898458,-55.265583,47.2,3.1,-3.1,,,,,,,,,0.19,0.02,-0.02,,,,,,,,,,,4131.79,317.83,-317.83,,,,4131.79,317.83,-317.83,,,,,,,,,,,0,4,3,1.05989722,299.269745,-61.776066,341.467807,-54.693651,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,0.03,,,,,,,,,,,7.36,0.05,6.78,0.05,6.44,0.05,,,,,,,,,,3,,,,,,,,,,,,,,,,,0
12,0,1,,,,,52,6,-6,20.712243,-24.664049,36,4,-4,33.86,0.09,-0.09,14.24,12.903,3530,50,-50,0.4,0.05,-0.05,,,,,,,,,,,7786.5,794.5,-794.5,,,,7786.5,794.5,-794.5,,,,,,,,,,,0,9,6,1.3808162,195.448768,-82.520165,8.622413,-30.711243,,,,29.53,0.07,-0.07,120.5,0.2,-123.4,0.1,172.4,0.2,120.5,0.2,-123.4,0.1,172.4,0.2,9.6,0.7,-0.7,6.35,,,,-1.72,0.11,-0.11,,,,0.12,0.01,-0.01,,,,14.24,0.07,,,,10.084,0.026,9.47,0.021,9.198,0.024,9.022,0.023,8.857,0.019,8.747,0.031,8.298,0.317,,9,,,,,0.614,0.033,0.272,0.032,0.886,0.035,,,,,,,3
13,0,1,,,,,156,10,-10,34.842106,-39.422928,39.4,2.6,-2.6,40.09,0.19,-0.19,,15.012,3064,76,-76,0.11,0.01,-0.01,0.28,0.01,-0.01,,,,,,,,4417.837,349.613,-349.613,,,,4417.837,349.613,-349.613,16.141,0.336,-0.336,0.148,0.003,-0.003,,,,,0,10,5,2.32280707,252.453768,-67.984453,13.508497,-49.30478,,,,24.94,0.12,-0.12,103.6,0.1,-35.9,0.1,109.6,0.1,103.6,0.1,-35.9,0.1,109.6,0.1,10.6,0.7,-0.7,6.6,4.59,0.06,-0.06,-2.23,0.06,-0.06,,,,0.035,0.005,-0.005,6.5,0.4,-0.4,,,18.5,,15.23,11.381,0.023,10.811,0.026,10.404,0.023,10.148,0.023,9.901,0.02,9.614,0.037,9.001,,,11,,,,,,,,,,,,,,,,,0
14,0,1,,,,,15,,,70.437073,23.030941,140,,,120.42,5.48,-5.48,,18.967,,,,0.02,,,,,,,,,,,,,2383.6,794.5,-794.5,,,,2383.6,794.5,-794.5,,,,,,,,,,,0,4,4,4.69580487,176.510593,-15.114249,72.050227,0.80244,,,,8.3,0.38,-0.38,9,0.9,-21.4,0.5,23.2,0.6,9,0.9,-21.4,0.5,23.2,0.6,,,,6.85,,,,,,,,,,0.001,,,,,,,,,,,14.419,0.025,13.726,0.029,13.161,0.025,,,,,,,,,,4,,,,,0.693,0.038,0.565,0.038,1.258,0.035,,,,,,,3
15,0,1,,,,,46,5,-5,181.889447,-39.548332,64.42,0.65,-0.65,64.42,0.65,-0.65,20.15,17.408,,,,0.02,,,,,,,,,,,,,1271,318,-318,,,,1271,318,-318,,,,,,,,,,,0,9,8,12.12596313,293.790363,22.543297,199.743654,-35.034839,15.52,0.16,-0.16,15.52,0.16,-0.16,-64.1,0.2,-23.7,0.1,68.3,0.2,-64.1,0.2,-23.7,0.1,68.3,0.2,,,,6.8,,,,,,,,,,0.008,0.004,-0.003,,,,20.15,0.19,,,,12.995,0.026,12.388,0.027,11.945,0.026,11.574,0.023,11.017,0.02,9.469,0.031,8.121,0.174,,9,,,,,0.607,0.037,0.443,0.037,1.05,0.037,,,,,,,3
16,0,1,416,2,-2,0,0.92,0.02,-0.02,294.635865,46.066418,400.77,6.48,-6.48,400.77,6.48,-6.48,12.264,12.138,,,,0.48,0.03,-0.03,,,,,,,,,,,603.877,31.783,-31.783,,,,603.877,31.783,-31.783,,,,,,,,,,,0,11,8,19.642391,79.018713,11.674389,314.709288,65.725374,2.5,0.04,-0.04,2.5,0.04,-0.04,5.2,0.1,-4.6,0.1,7,0.1,5.2,0.1,-4.6,0.1,7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,12.757,0.022,12.889,0.02,12.955,0.029,12.862,0.023,12.92,0.024,12.67,0.27,9.203,,,14,,,,,-0.132,0.03,-0.066,0.035,-0.198,0.036,,,,,,,5
17,0,1,7336.5,1934.5,-584,0,,,,325.122159,16.421759,25,10,-10,33.12,0.48,-0.48,,17.396,2300,80,-80,0.08,0.06,-0.06,0.12,0.05,-0.04,,,,,,,,6657.48,26629.91,-6657.48,,,,6657.48,26629.91,-6657.48,10.31,4.37,-4.04,0.09,0.04,-0.04,,,,,0,11,5,21.6748106,70.485103,-26.437255,333.590507,28.526095,,,,30.2,0.43,-0.43,-77.9,0.8,-85.6,0.7,115.8,0.7,-77.9,0.8,-85.6,0.7,115.8,0.7,13,0.2,-0.2,6.85,,,,-3.48,0.35,-0.35,,,,,,,,,,,,,,,12.94,0.033,12.266,0.04,11.826,0.031,11.375,0.022,11.135,0.02,10.687,0.096,8.971,,,8,,,,,0.674,0.052,0.44,0.051,1.114,0.045,,,,,,,3
18,0,1,,,,,230,20,-20,339.102203,47.86182,74,10,-10,69.71,0.16,-0.16,12.51,11.948,4045,35,-35,0.6,0.05,-0.05,,,,,,,,,,,3972.875,476.745,-476.745,,,,3972.875,476.745,-476.745,,,,,,,,,,,0,8,5,22.60681356,100.748288,-9.108906,6.858823,50.853569,,,,14.34,0.03,-0.03,62.9,0.1,-30.5,0.1,69.9,0.1,62.9,0.1,-30.5,0.1,69.9,0.1,-21.5,0.2,-0.2,5.7,,,,,,,,,,0.12,0.01,-0.01,,,,12.51,0.03,13.73,0.18,,9.975,0.018,9.338,0.019,9.148,0.016,9.058,0.023,9.094,0.02,8.947,0.027,8.731,0.356,,13,,,,,0.637,0.026,0.19,0.025,0.827,0.024,,,,,,,3
19,0,1,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,39.240585,24.648064,44.71,0.1,-0.1,44.71,0.1,-0.1,6.962,6.961,6331,61,-61,1.93,0.27,-0.27,1.41,0.05,-0.05,,272,24,-24,13.82,1.8,-1.8,,,,4392.4106,572.094,-572.094,4392.4106,572.094,-572.094,,,,,,,,,,,0,41,24,2.61603902,151.476148,-32.309491,44.567804,8.854811,22.36,0.05,-0.05,22.36,0.05,-0.05,141.4,0.1,-10.7,0.1,141.8,0.1,141.4,0.1,-10.7,0.1,141.8,0.1,17.2,1.8,-1.8,3.6,4.43,0.05,-0.05,,,,0.19,,,,,,38.3,1.8,-1.8,6.962,0.011,7.458,0.016,,6.08,0.02,5.908,0.029,5.822,0.021,5.963,0.058,5.669,0.024,5.825,0.015,5.679,0.055,1,20,,,0.496,0.019,0.172,0.035,0.086,0.036,0.258,0.029,0.332,0.003,0.163,0.004,0.39,0.005,8
20,0,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,130.053406,64.327934,73.58,1.18,-1.18,73.58,1.18,-1.18,4.61,4.16,4415,70,-70,1.23,0.15,-0.15,18.11,1.47,-1.47,-4.31,215.55,7.1,-7.1,7.1,1.6,-1.6,,,,2256.5,508.5,-508.5,2256.5,508.5,-508.5,,,,,,,,,,,0,22,18,8.67022705,151.358914,35.9569,112.813312,44.028066,13.59,0.22,-0.22,13.59,0.22,-0.22,-61.2,0.3,26.4,0.3,66.7,0.3,-61.2,0.3,26.4,0.3,66.7,0.3,14.62,0.14,-0.14,5.1,1.8,0.15,-0.15,,,,-0.25,0.04,-0.04,4.604,2,-2,,,,4.61,,5.78,,,2.619,0.29,2.021,0.186,1.734,0.218,-0.342,,0.1,,1.817,0.016,1.755,0.021,1,20,1.16,,1.17,,0.598,0.345,0.287,0.287,0.885,0.363,,,,,,,7
21,0,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,276.496399,65.563484,90.86,1.32,-1.32,90.86,1.32,-1.32,4.82,4.364,4200,70,-70,0.98,0.05,-0.05,22.03,1,-1,-3.7,110.5,7,-7,3.88,0.85,-0.85,,,,1233.13,270.14,-270.14,1233.13,270.14,-270.14,,,,,,,,,,,0,22,18,18.43309326,95.419171,27.125611,342.26709,87.183386,11.01,0.16,-0.16,11.01,0.16,-0.16,105.2,0.3,-25.1,0.4,108.2,0.3,105.2,0.3,-25.1,0.4,108.2,0.3,31.79,0.32,-0.32,5.15,1.71,0.05,-0.05,,,,-0.46,0.05,-0.05,9.49,1.76,-1.76,1,,,4.82,,6.01,,,2.949,0.234,2.197,0.196,2.085,0.216,-0.152,,0.372,,2.022,0.013,1.892,0.012,1,20,1.11,,1.19,,0.752,0.305,0.112,0.292,0.864,0.318,,,,,,,7
22,0,3,1078,2,-2,0,2.1,0.02,-0.02,164.866562,40.430256,13.8,0.03,-0.03,13.8,0.03,-0.03,5.05,4.831,5892,70,-70,1.03,0.05,-0.05,1.23,,,-76,48.4,0.8,-0.9,2.53,0.07,-0.06,,,,804.08,22.25,-19.07,804.08,22.25,-19.07,,,,,,,,,,,0,62,42,10.99110413,175.782531,63.369127,149.069855,31.061608,72.45,0.15,-0.15,72.45,0.15,-0.15,-317.6,0.2,55,0.2,322.4,0.2,-317.6,0.2,55,0.2,322.4,0.2,11.1,0.1,-0.1,4,4.27,0.1,-0.1,,,,0,0.07,-0.07,7.3,1.9,-1.9,2.9,,,5.05,,5.66,,,3.96,0.296,3.736,0.224,3.75,0.34,3.556,0.353,3.143,0.314,3.586,0.015,3.553,0.021,1,28,0.13,,0.61,,0.224,0.371,-0.014,0.407,0.21,0.451,0.392,0.002,0.199,0.003,0.355,0.002,11
23,0,3,2391,100,-87,0,3.6,0.1,-0.1,164.866562,40.430256,13.8,0.03,-0.03,13.8,0.03,-0.03,5.05,4.831,5892,70,-70,1.03,0.05,-0.05,1.23,,,-825,8,1,-1,0.54,0.066,-0.073,,,,171.621,20.976,-23.201,171.621,20.976,-23.201,,,,,,,,,,,0,48,42,10.99110413,175.782531,63.369127,149.069855,31.061608,72.45,0.15,-0.15,72.45,0.15,-0.15,-317.6,0.2,55,0.2,322.4,0.2,-317.6,0.2,55,0.2,322.4,0.2,11.1,0.1,-0.1,4,4.27,0.1,-0.1,,,,0,0.07,-0.07,7.3,1.9,-1.9,2.9,,,5.05,,5.66,,,3.96,0.296,3.736,0.224,3.75,0.34,3.556,0.353,3.143,0.314,3.586,0.015,3.553,0.021,1,28,0.13,,0.61,,0.224,0.371,-0.014,0.407,0.21,0.451,0.392,0.002,0.199,0.003,0.355,0.002,11
24,0,3,14002,4018,-5095,0,11.6,2.1,-2.9,164.866562,40.430256,13.8,0.03,-0.03,13.8,0.03,-0.03,5.05,4.831,5892,70,-70,1.03,0.05,-0.05,1.23,,,-5051,13.8,2.2,-2.9,1.64,0.29,-0.48,,,,521.22,92.17,-152.55,521.22,92.17,-152.55,,,,,,,,,,,0,41,42,10.99110413,175.782531,63.369127,149.069855,31.061608,72.45,0.15,-0.15,72.45,0.15,-0.15,-317.6,0.2,55,0.2,322.4,0.2,-317.6,0.2,55,0.2,322.4,0.2,11.1,0.1,-0.1,4,4.27,0.1,-0.1,,,,0,0.07,-0.07,7.3,1.9,-1.9,2.9,,,5.05,,5.66,,,3.96,0.296,3.736,0.224,3.75,0.34,3.556,0.353,3.143,0.314,3.586,0.015,3.553,0.021,1,28,0.13,,0.61,,0.224,0.371,-0.014,0.407,0.21,0.451,0.392,0.002,0.199,0.003,0.355,0.002,11
25,0,1,11688,6209.25,-3287.25,0,12,4,-2,69.400551,-2.473548,29.4,0.3,-0.3,29.78,0.12,-0.12,5.23,5.122,,,,1.75,0.05,-0.05,,,,-1826,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,25,4.62670339,198.61262,-30.657612,67.313442,-24.305028,,,,33.58,0.14,-0.14,44.4,0.2,-63.8,0.2,77.7,0.2,44.4,0.2,-63.8,0.2,77.7,0.2,17.3,3,-3,3,,,,0.85,0.06,-0.06,-0.027,0.045,-0.045,0.02,0.006,-0.006,71.8,3.6,-3.6,5.23,,5.51,,5.38,4.744,0.037,4.77,0.076,4.537,0.024,4.543,0.21,4.31,0.117,4.575,0.018,4.39,0.023,1,31,0.04,,0.28,,-0.026,0.085,0.233,0.08,0.207,0.044,,,,,,,10
26,0,1,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,344.366577,20.768833,15.47,0.03,-0.03,15.47,0.03,-0.03,5.5,5.256,5793,70,-70,1.12,0.06,-0.06,1.2,,,-0.61,55.94,0.69,-0.69,0.472,0.039,-0.039,,,,150.009,12.395,-12.395,150.009,12.395,-12.395,,,,,,,,,,,0,62,44,22.95777181,90.062611,-34.727214,354.284094,25.186477,64.65,0.12,-0.12,64.65,0.12,-0.12,207.4,0.2,62.1,0.2,216.5,0.2,207.4,0.2,62.1,0.2,216.5,0.2,-33.25,0,0,4.25,4.33,0.1,-0.1,,,,0.2,0.07,-0.07,4,2.5,-2.5,2,,,5.5,,6.17,,,4.655,0.296,4.234,0.27,3.911,0.021,3.909,0.387,3.624,0.246,3.929,0.016,3.904,0.024,1,24,0.2,,0.67,,0.421,0.401,0.323,0.271,0.744,0.297,0.42,0.001,0.234,0.003,0.374,0.004,20
27,0,5,14.6516,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,133.149216,28.330818,12.59,0.01,-0.01,12.59,0.01,-0.01,5.96,5.714,5172,18,-18,0.91,0.01,-0.01,0.94,0.01,-0.01,,71.37,0.21,-0.21,0.8036,0.0092,-0.0091,,,,255.4,2.9,-2.9,255.4,2.9,-2.9,,,,,,,,,,,0,127,52,8.87661438,196.794709,37.698968,127.732452,10.367085,79.43,0.08,-0.08,79.43,0.08,-0.08,-485.9,0.1,-233.7,0.1,539.1,0.1,-485.9,0.1,-233.7,0.1,539.1,0.1,27.41,0,0,4.8,4.43,0.02,-0.02,,,,0.35,0.1,-0.1,,,,1.23,0.01,-0.01,5.96,0.01,6.83,0.01,,4.768,0.244,4.265,0.234,4.015,0.036,4.001,0.318,3.296,0.174,4.051,0.015,4.014,0.03,1,30,,,0.87,0.01,0.503,0.338,0.25,0.237,0.753,0.247,0.536,0.002,0.357,0.004,0.415,0.005,11
28,0,5,44.3989,0.0042,-0.0043,0,0.2373,0.0013,-0.0013,133.149216,28.330818,12.59,0.01,-0.01,12.59,0.01,-0.01,5.96,5.714,5172,18,-18,0.91,0.01,-0.01,0.94,0.01,-0.01,,9.89,0.22,-0.22,0.1611,0.004,-0.004,,,,51.2,1.3,-1.3,51.2,1.3,-1.3,,,,,,,,,,,0,102,52,8.87661438,196.794709,37.698968,127.732452,10.367085,79.43,0.08,-0.08,79.43,0.08,-0.08,-485.9,0.1,-233.7,0.1,539.1,0.1,-485.9,0.1,-233.7,0.1,539.1,0.1,27.41,0,0,4.8,4.43,0.02,-0.02,,,,0.35,0.1,-0.1,,,,1.23,0.01,-0.01,5.96,0.01,6.83,0.01,,4.768,0.244,4.265,0.234,4.015,0.036,4.001,0.318,3.296,0.174,4.051,0.015,4.014,0.03,1,30,,,0.87,0.01,0.503,0.338,0.25,0.237,0.753,0.247,0.536,0.002,0.357,0.004,0.415,0.005,11
29,0,5,5574.2,93.8,-88.6,0,5.957,0.074,-0.071,133.149216,28.330818,12.59,0.01,-0.01,12.59,0.01,-0.01,5.96,5.714,5172,18,-18,0.91,0.01,-0.01,0.94,0.01,-0.01,,38.6,1.3,-1.4,3.12,0.1,-0.1,,,,991.6,30.7,-33.1,991.6,30.7,-33.1,,,,,,,,,,,0,116,52,8.87661438,196.794709,37.698968,127.732452,10.367085,79.43,0.08,-0.08,79.43,0.08,-0.08,-485.9,0.1,-233.7,0.1,539.1,0.1,-485.9,0.1,-233.7,0.1,539.1,0.1,27.41,0,0,4.8,4.43,0.02,-0.02,,,,0.35,0.1,-0.1,,,,1.23,0.01,-0.01,5.96,0.01,6.83,0.01,,4.768,0.244,4.265,0.234,4.015,0.036,4.001,0.318,3.296,0.174,4.051,0.015,4.014,0.03,1,30,,,0.87,0.01,0.503,0.338,0.25,0.237,0.753,0.247,0.536,0.002,0.357,0.004,0.415,0.005,11
30,0,5,0.7365474,0.0000013,-0.0000014,0,0.01544,0.00005,-0.00005,133.149216,28.330818,12.59,0.01,-0.01,12.59,0.01,-0.01,5.96,5.714,5172,18,-18,0.91,0.01,-0.01,0.94,0.01,-0.01,,6.02,0.24,-0.23,,,,7.99,0.32,-0.33,,,,7.99,0.32,-0.33,1.875,0.029,-0.029,0.017,0,0,,0.0182,0.0002,-0.0002,0,167,58,8.87661438,196.794709,37.698968,127.732452,10.367085,79.43,0.08,-0.08,79.43,0.08,-0.08,-485.9,0.1,-233.7,0.1,539.1,0.1,-485.9,0.1,-233.7,0.1,539.1,0.1,27.41,0,0,4.8,4.43,0.02,-0.02,,,,0.35,0.1,-0.1,,,,1.23,0.01,-0.01,5.96,0.01,6.83,0.01,,4.768,0.244,4.265,0.234,4.015,0.036,4.001,0.318,3.296,0.174,4.051,0.015,4.014,0.03,1,30,,,0.87,0.01,0.503,0.338,0.25,0.237,0.753,0.247,0.536,0.002,0.357,0.004,0.415,0.005,11
31,0,5,259.88,0.29,-0.29,0,0.7708,0.0043,-0.0044,133.149216,28.330818,12.59,0.01,-0.01,12.59,0.01,-0.01,5.96,5.714,5172,18,-18,0.91,0.01,-0.01,0.94,0.01,-0.01,,5.14,0.26,-0.25,0.1503,0.0076,-0.0076,,,,47.8,2.4,-2.4,47.8,2.4,-2.4,,,,,,,,,,,0,95,52,8.87661438,196.794709,37.698968,127.732452,10.367085,79.43,0.08,-0.08,79.43,0.08,-0.08,-485.9,0.1,-233.7,0.1,539.1,0.1,-485.9,0.1,-233.7,0.1,539.1,0.1,27.41,0,0,4.8,4.43,0.02,-0.02,,,,0.35,0.1,-0.1,,,,1.23,0.01,-0.01,5.96,0.01,6.83,0.01,,4.768,0.244,4.265,0.234,4.015,0.036,4.001,0.318,3.296,0.174,4.051,0.015,4.014,0.03,1,30,,,0.87,0.01,0.503,0.338,0.25,0.237,0.753,0.247,0.536,0.002,0.357,0.004,0.415,0.005,11
32,0,1,934.3,8.6,-8.6,0,2.11,0.11,-0.11,97.696281,58.162632,54.74,0.27,-0.27,54.74,0.27,-0.27,5.86,5.588,4938,,,1.44,,,5.2,,,-94,32.8,1.2,-1.2,2.01,0.077,-0.077,,,,638.8383,24.47291,-24.47291,638.8383,24.47291,-24.47291,,,,,,,,,,,0,47,24,6.51308543,156.971465,20.189874,94.938691,34.855212,18.27,0.09,-0.09,18.27,0.09,-0.09,-30.4,0.1,-338.7,0.1,340,0.1,-30.4,0.1,-338.7,0.1,340,0.1,39.7,0.13,-0.13,5,3.19,,,,,,,,,,,,1.32,,,5.86,,6.82,,,4.272,0.254,3.825,0.252,3.701,0.3,3.662,0.508,2.916,0.138,3.689,0.024,3.589,0.021,1,22,0.66,,0.94,,0.447,0.358,0.124,0.392,0.571,0.393,0.574,0.002,0.332,0.003,0.411,0.005,10
33,0,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,199.601318,-18.311195,8.51,0.02,-0.02,8.51,0.02,-0.02,4.74,4.477,5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01,,2.12,0.23,-0.23,0.016,0.002,-0.002,,,,5.1,0.5,-0.5,5.1,0.5,-0.5,,,,,,,,,,,0,42,46,13.30675456,311.859025,44.092637,205.0072,-9.297809,117.57,0.24,-0.24,117.57,0.24,-0.24,-1070.8,0.4,-1063,0.4,1508.8,0.4,-1070.8,0.4,-1063,0.4,1508.8,0.4,-8.2,0.1,-0.1,4.5,4.34,0.03,-0.03,-0.095,0.003,-0.003,-0.01,,,8.96,2.76,-3.08,1.9,,,4.74,,5.45,,4.33,3.334,0.2,2.974,0.176,2.956,0.236,2.144,,2.791,0.524,3.091,0.009,2.986,0.019,1,36,0.26,,0.71,,0.36,0.266,0.018,0.294,0.378,0.309,0.433,0,0.252,0.001,0.332,0.002,21
34,0,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,199.601318,-18.311195,8.51,0.02,-0.02,8.51,0.02,-0.02,4.74,4.477,5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01,,3.62,0.23,-0.23,0.057,0.003,-0.003,,,,18.2,1.1,-1.1,18.2,1.1,-1.1,,,,,,,,,,,0,42,46,13.30675456,311.859025,44.092637,205.0072,-9.297809,117.57,0.24,-0.24,117.57,0.24,-0.24,-1070.8,0.4,-1063,0.4,1508.8,0.4,-1070.8,0.4,-1063,0.4,1508.8,0.4,-8.2,0.1,-0.1,4.5,4.34,0.03,-0.03,-0.095,0.003,-0.003,-0.01,,,8.96,2.76,-3.08,1.9,,,4.74,,5.45,,4.33,3.334,0.2,2.974,0.176,2.956,0.236,2.144,,2.791,0.524,3.091,0.009,2.986,0.019,1,36,0.26,,0.71,,0.36,0.266,0.018,0.294,0.378,0.309,0.433,0,0.252,0.001,0.332,0.002,21
35,0,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,199.601318,-18.311195,8.51,0.02,-0.02,8.51,0.02,-0.02,4.74,4.477,5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01,,3.25,0.39,-0.39,0.072,0.008,-0.008,,,,22.9,2.6,-2.6,22.9,2.6,-2.6,,,,,,,,,,,0,42,46,13.30675456,311.859025,44.092637,205.0072,-9.297809,117.57,0.24,-0.24,117.57,0.24,-0.24,-1070.8,0.4,-1063,0.4,1508.8,0.4,-1070.8,0.4,-1063,0.4,1508.8,0.4,-8.2,0.1,-0.1,4.5,4.34,0.03,-0.03,-0.095,0.003,-0.003,-0.01,,,8.96,2.76,-3.08,1.9,,,4.74,,5.45,,4.33,3.334,0.2,2.974,0.176,2.956,0.236,2.144,,2.791,0.524,3.091,0.009,2.986,0.019,1,36,0.26,,0.71,,0.36,0.266,0.018,0.294,0.378,0.309,0.433,0,0.252,0.001,0.332,0.002,21
36,0,2,735.1,14.8,-1,0,1.758,0.024,-0.001,99.17099,-19.255878,19.82,0.16,-0.16,19.82,0.16,-0.16,3.92,3.578,4826,45,-55,1.34,0.11,-0.12,4.87,0.17,-0.14,,34.3,1.2,-0.9,1.85,0.06,-0.04,,,,587.9855,19.0698,-12.7132,587.9855,19.0698,-19.0698,,,,,,,,,,,0,46,28,6.61139933,228.688399,-11.796021,101.741914,-42.322075,50.46,0.42,-0.42,50.46,0.42,-0.42,62,0.6,-72.8,0.6,95.6,0.6,62,0.6,-72.8,0.6,95.6,0.6,,,,5.1,3.19,0.06,-0.07,1.063,0.012,-0.008,0.21,0.1,-0.1,4.3,0.9,-1.3,1.15,,,3.92,,4.97,,3.41,2.173,0.244,1.679,0.234,1.564,0.252,-0.682,,-0.525,,1.653,0.014,1.541,0.015,1,32,1,,1.05,,0.494,0.338,0.115,0.344,0.609,0.351,,,,,,,15
